p_k,country_id,ext_int,imp_exp,month,trade_value
2498,BE,INTRA,IMPORT,d2022_04,27437002321
2499,BE,INTRA,EXPORT,d2022_04,32049128124
2500,BE,WORLD,IMPORT,d2022_04,47949795879
2501,BE,WORLD,EXPORT,d2022_04,46489171114
2502,BG,EXTRA,IMPORT,d2022_04,1980602533
2503,BG,EXTRA,EXPORT,d2022_04,1251694321
2504,BG,INTRA,IMPORT,d2022_04,2340673966
2505,BG,INTRA,EXPORT,d2022_04,2676173710
2506,BG,WORLD,IMPORT,d2022_04,4321276499
2507,BG,WORLD,EXPORT,d2022_04,3927868031
2508,CY,EXTRA,IMPORT,d2022_04,309306859
2509,CY,EXTRA,EXPORT,d2022_04,189798179
2510,CY,INTRA,IMPORT,d2022_04,538023877
2511,CY,INTRA,EXPORT,d2022_04,85116105
2512,CY,WORLD,IMPORT,d2022_04,847330736
2513,CY,WORLD,EXPORT,d2022_04,274914284
2514,CZ,EXTRA,IMPORT,d2022_04,4561009437
2515,CZ,EXTRA,EXPORT,d2022_04,3062491913
2516,CZ,INTRA,IMPORT,d2022_04,13283215064
2517,CZ,INTRA,EXPORT,d2022_04,14390396608
2518,CZ,WORLD,IMPORT,d2022_04,17844224501
2519,CZ,WORLD,EXPORT,d2022_04,17452888521
2520,DE,EXTRA,IMPORT,d2022_04,48652031742
2521,DE,EXTRA,EXPORT,d2022_04,54670223436
2522,DE,INTRA,IMPORT,d2022_04,73174767448
2523,DE,INTRA,EXPORT,d2022_04,69514643390
2524,DE,WORLD,IMPORT,d2022_04,121826799190
2525,DE,WORLD,EXPORT,d2022_04,124184866826
2526,DK,EXTRA,IMPORT,d2022_04,3298747647
2527,DK,EXTRA,EXPORT,d2022_04,4036282186
2528,DK,INTRA,IMPORT,d2022_04,6650489387
2529,DK,INTRA,EXPORT,d2022_04,5195754771
2530,DK,WORLD,IMPORT,d2022_04,9949237034
2531,DK,WORLD,EXPORT,d2022_04,9232036957
2532,EE,EXTRA,IMPORT,d2022_04,538782560
2533,EE,EXTRA,EXPORT,d2022_04,462398800
2534,EE,INTRA,IMPORT,d2022_04,1592544258
2535,EE,INTRA,EXPORT,d2022_04,1136676197
2536,EE,WORLD,IMPORT,d2022_04,2131326818
2537,EE,WORLD,EXPORT,d2022_04,1599074997
2538,ES,EXTRA,IMPORT,d2022_04,20199733546
2539,ES,EXTRA,EXPORT,d2022_04,11796016717
2540,ES,INTRA,IMPORT,d2022_04,17658242637
2541,ES,INTRA,EXPORT,d2022_04,19926881087
2542,ES,WORLD,IMPORT,d2022_04,37857976183
2543,ES,WORLD,EXPORT,d2022_04,31722897804
2544,EU,EXTRA,IMPORT,d2022_04,243585738567
2545,EU,EXTRA,EXPORT,d2022_04,198975743642
2546,EU,INTRA,IMPORT,d2022_04,328006194976
2547,EU,INTRA,EXPORT,d2022_04,336162448816
2548,FI,EXTRA,IMPORT,d2022_04,2665817054
2549,FI,EXTRA,EXPORT,d2022_04,2707587071
2550,FI,INTRA,IMPORT,d2022_04,4933963113
2551,FI,INTRA,EXPORT,d2022_04,3933510556
2552,FI,WORLD,IMPORT,d2022_04,7599780167
2553,FI,WORLD,EXPORT,d2022_04,6641097627
2554,FR,EXTRA,IMPORT,d2022_04,23511764041
2555,FR,EXTRA,EXPORT,d2022_04,20437417183
2556,FR,INTRA,IMPORT,d2022_04,37958680542
2557,FR,INTRA,EXPORT,d2022_04,25625462974
2558,FR,WORLD,IMPORT,d2022_04,61470444583
2559,FR,WORLD,EXPORT,d2022_04,46062880157
2560,GR,EXTRA,IMPORT,d2022_04,3878775468
2561,GR,EXTRA,EXPORT,d2022_04,1889488045
2562,GR,INTRA,IMPORT,d2022_04,3044312532
2563,GR,INTRA,EXPORT,d2022_04,2243173962
2564,GR,WORLD,IMPORT,d2022_04,6923088000
2565,GR,WORLD,EXPORT,d2022_04,4132662007
2566,HR,EXTRA,IMPORT,d2022_04,1071689246
2567,HR,EXTRA,EXPORT,d2022_04,577153077
2568,HR,INTRA,IMPORT,d2022_04,2497244282
2569,HR,INTRA,EXPORT,d2022_04,1285995472
2570,HR,WORLD,IMPORT,d2022_04,3568933528
2571,HR,WORLD,EXPORT,d2022_04,1863148549
2572,HU,EXTRA,IMPORT,d2022_04,3539654391
2573,HU,EXTRA,EXPORT,d2022_04,2445239720
2574,HU,INTRA,IMPORT,d2022_04,8363906598
2575,HU,INTRA,EXPORT,d2022_04,8701341954
2576,HU,WORLD,IMPORT,d2022_04,11903560989
2577,HU,WORLD,EXPORT,d2022_04,11146581674
2578,IE,EXTRA,IMPORT,d2022_04,7222023152
2579,IE,EXTRA,EXPORT,d2022_04,10268873431
2580,IE,INTRA,IMPORT,d2022_04,3906999613
2581,IE,INTRA,EXPORT,d2022_04,6412487946
2582,IE,WORLD,IMPORT,d2022_04,11129022765
2583,IE,WORLD,EXPORT,d2022_04,16681361377
2584,IT,EXTRA,IMPORT,d2022_04,26343331442
2585,IT,EXTRA,EXPORT,d2022_04,23632406726
2586,IT,INTRA,IMPORT,d2022_04,27533182901
2587,IT,INTRA,EXPORT,d2022_04,26605193797
2588,IT,WORLD,IMPORT,d2022_04,53876514343
2589,IT,WORLD,EXPORT,d2022_04,50237600523
2590,LT,EXTRA,IMPORT,d2022_04,1789047079
2591,LT,EXTRA,EXPORT,d2022_04,1082684817
2592,LT,INTRA,IMPORT,d2022_04,2505998445
2593,LT,INTRA,EXPORT,d2022_04,2400117157
2594,LT,WORLD,IMPORT,d2022_04,4295045524
2595,LT,WORLD,EXPORT,d2022_04,3482801974
2596,LU,EXTRA,IMPORT,d2022_04,225944163
2597,LU,EXTRA,EXPORT,d2022_04,230784861
2598,LU,INTRA,IMPORT,d2022_04,1924298421
2599,LU,INTRA,EXPORT,d2022_04,1128795070
2600,LU,WORLD,IMPORT,d2022_04,2150242584
2601,LU,WORLD,EXPORT,d2022_04,1359579931
2602,LV,EXTRA,IMPORT,d2022_04,560223493
2603,LV,EXTRA,EXPORT,d2022_04,606279148
2604,LV,INTRA,IMPORT,d2022_04,1719531796
2605,LV,INTRA,EXPORT,d2022_04,1218298442
2606,LV,WORLD,IMPORT,d2022_04,2279755289
2607,LV,WORLD,EXPORT,d2022_04,1824577590
2608,MT,EXTRA,IMPORT,d2022_04,275551856
2609,MT,EXTRA,EXPORT,d2022_04,96081823
2610,MT,INTRA,IMPORT,d2022_04,389220528
2611,MT,INTRA,EXPORT,d2022_04,123828200
2612,MT,WORLD,IMPORT,d2022_04,664772384
2613,MT,WORLD,EXPORT,d2022_04,219910023
2614,NL,EXTRA,IMPORT,d2022_04,40539708917
2615,NL,EXTRA,EXPORT,d2022_04,20372828877
2616,NL,INTRA,IMPORT,d2022_04,26451740190
2617,NL,INTRA,EXPORT,d2022_04,51503028614
2618,NL,WORLD,IMPORT,d2022_04,66991449107
2619,NL,WORLD,EXPORT,d2022_04,71875857491
2620,PL,EXTRA,IMPORT,d2022_04,11109743091
2621,PL,EXTRA,EXPORT,d2022_04,6264897700
2622,PL,INTRA,IMPORT,d2022_04,18906619237
2623,PL,INTRA,EXPORT,d2022_04,21324015555
2624,PL,WORLD,IMPORT,d2022_04,30016362328
2625,PL,WORLD,EXPORT,d2022_04,27588913255
