p_k,country_id,ext_int,imp_exp,year,trade_value
194,CZ,WORLD,IMPORT,d2021,179330067177
195,CZ,WORLD,EXPORT,d2021,191570960085
196,DE,EXTRA,IMPORT,d2021,437236696105
197,DE,EXTRA,EXPORT,d2021,632719703451
198,DE,INTRA,IMPORT,d2021,765689795097
199,DE,INTRA,EXPORT,d2021,751424768464
200,DE,WORLD,IMPORT,d2021,1202926491202
201,DE,WORLD,EXPORT,d2021,1384144471915
202,DK,EXTRA,IMPORT,d2021,32554481178
203,DK,EXTRA,EXPORT,d2021,50099929358
204,DK,INTRA,IMPORT,d2021,69256748950
205,DK,INTRA,EXPORT,d2021,56433239159
206,DK,WORLD,IMPORT,d2021,101811230128
207,DK,WORLD,EXPORT,d2021,106533168517
208,EE,EXTRA,IMPORT,d2021,5585301471
209,EE,EXTRA,EXPORT,d2021,6005545094
210,EE,INTRA,IMPORT,d2021,14436318558
211,EE,INTRA,EXPORT,d2021,12231219366
212,EE,WORLD,IMPORT,d2021,20021620029
213,EE,WORLD,EXPORT,d2021,18236764460
214,ES,EXTRA,IMPORT,d2021,161318432328
215,ES,EXTRA,EXPORT,d2021,121869339529
216,ES,INTRA,IMPORT,d2021,194123529725
217,ES,INTRA,EXPORT,d2021,199565574042
218,ES,WORLD,IMPORT,d2021,355441962053
219,ES,WORLD,EXPORT,d2021,321434913571
220,EU,EXTRA,IMPORT,d2021,2126020457668
221,EU,EXTRA,EXPORT,d2021,2181018189401
222,EU,INTRA,IMPORT,d2021,3383934119525
223,EU,INTRA,EXPORT,d2021,3442534626783
224,FI,EXTRA,IMPORT,d2021,22093396524
225,FI,EXTRA,EXPORT,d2021,30440073930
226,FI,INTRA,IMPORT,d2021,50774377098
227,FI,INTRA,EXPORT,d2021,39031220615
228,FI,WORLD,IMPORT,d2021,72867773622
229,FI,WORLD,EXPORT,d2021,69471294545
230,FR,EXTRA,IMPORT,d2021,205766161168
231,FR,EXTRA,EXPORT,d2021,224530351760
232,FR,INTRA,IMPORT,d2021,399488372047
233,FR,INTRA,EXPORT,d2021,270418464437
234,FR,WORLD,IMPORT,d2021,605254533215
235,FR,WORLD,EXPORT,d2021,494948816197
236,GR,EXTRA,IMPORT,d2021,31632165260
237,GR,EXTRA,EXPORT,d2021,18473604011
238,GR,INTRA,IMPORT,d2021,33734737393
239,GR,INTRA,EXPORT,d2021,21497942317
240,GR,WORLD,IMPORT,d2021,65366902653
241,GR,WORLD,EXPORT,d2021,39971546328
242,HR,EXTRA,IMPORT,d2021,7511221916
243,HR,EXTRA,EXPORT,d2021,6031824196
244,HR,INTRA,IMPORT,d2021,21719079675
245,HR,INTRA,EXPORT,d2021,12489008628
246,HR,WORLD,IMPORT,d2021,29230301591
247,HR,WORLD,EXPORT,d2021,18520832824
248,HU,EXTRA,IMPORT,d2021,34767441647
249,HU,EXTRA,EXPORT,d2021,26202801540
250,HU,INTRA,IMPORT,d2021,86158012072
251,HU,INTRA,EXPORT,d2021,93709293239
252,HU,WORLD,IMPORT,d2021,120925453719
253,HU,WORLD,EXPORT,d2021,119912094779
254,IE,EXTRA,IMPORT,d2021,63241047268
255,IE,EXTRA,EXPORT,d2021,99756393511
256,IE,INTRA,IMPORT,d2021,38684561900
257,IE,INTRA,EXPORT,d2021,61448466813
258,IE,WORLD,IMPORT,d2021,101925609168
259,IE,WORLD,EXPORT,d2021,161204860324
260,IT,EXTRA,IMPORT,d2021,208220841056
261,IT,EXTRA,EXPORT,d2021,246169283907
262,IT,INTRA,IMPORT,d2021,272216547230
263,IT,INTRA,EXPORT,d2021,274601814844
264,IT,WORLD,IMPORT,d2021,480437388286
265,IT,WORLD,EXPORT,d2021,520771098751
266,LT,EXTRA,IMPORT,d2021,11862991452
267,LT,EXTRA,EXPORT,d2021,14613581179
268,LT,INTRA,IMPORT,d2021,25827676974
269,LT,INTRA,EXPORT,d2021,19861294734
270,LT,WORLD,IMPORT,d2021,37690668426
271,LT,WORLD,EXPORT,d2021,34474875913
272,LU,EXTRA,IMPORT,d2021,2495042721
273,LU,EXTRA,EXPORT,d2021,2730824281
274,LU,INTRA,IMPORT,d2021,19651622914
275,LU,INTRA,EXPORT,d2021,11477605967
276,LU,WORLD,IMPORT,d2021,22146665635
277,LU,WORLD,EXPORT,d2021,14208430248
278,LV,EXTRA,IMPORT,d2021,5544534123
279,LV,EXTRA,EXPORT,d2021,6415783830
280,LV,INTRA,IMPORT,d2021,15150260588
281,LV,INTRA,EXPORT,d2021,11234748044
282,LV,WORLD,IMPORT,d2021,20694794711
283,LV,WORLD,EXPORT,d2021,17650531874
284,MT,EXTRA,IMPORT,d2021,2432452872
285,MT,EXTRA,EXPORT,d2021,1345121864
286,MT,INTRA,IMPORT,d2021,3605396519
287,MT,INTRA,EXPORT,d2021,1247868030
288,MT,WORLD,IMPORT,d2021,6037849391
289,MT,WORLD,EXPORT,d2021,2592989894
290,NL,EXTRA,IMPORT,d2021,377127486642
291,NL,EXTRA,EXPORT,d2021,217449251623
292,NL,INTRA,IMPORT,d2021,264349248299
293,NL,INTRA,EXPORT,d2021,493620595902
294,NL,WORLD,IMPORT,d2021,641476734941
295,NL,WORLD,EXPORT,d2021,711069847525
296,PL,EXTRA,IMPORT,d2021,97430772636
297,PL,EXTRA,EXPORT,d2021,71979896714
298,PL,INTRA,IMPORT,d2021,192229485795
299,PL,INTRA,EXPORT,d2021,216200725270
300,PL,WORLD,IMPORT,d2021,289660258431
301,PL,WORLD,EXPORT,d2021,288180621984
302,PT,EXTRA,IMPORT,d2021,21912563473
303,PT,EXTRA,EXPORT,d2021,18108795459
304,PT,INTRA,IMPORT,d2021,61233151336
305,PT,INTRA,EXPORT,d2021,45509729829
306,PT,WORLD,IMPORT,d2021,83145714809
307,PT,WORLD,EXPORT,d2021,63618525288
308,RO,EXTRA,IMPORT,d2021,27074509738
309,RO,EXTRA,EXPORT,d2021,19831971001
310,RO,INTRA,IMPORT,d2021,71260392743
311,RO,INTRA,EXPORT,d2021,54091001029
312,RO,WORLD,IMPORT,d2021,98334902481
313,RO,WORLD,EXPORT,d2021,73922972030
314,SE,EXTRA,IMPORT,d2021,53221415663
315,SE,EXTRA,EXPORT,d2021,74258808744
316,SE,INTRA,IMPORT,d2021,105147687175
