freq,reporter,partner,product,flow,indicators\TIME_PERIOD	2020 	2021 	2021-01 	2021-02 	2021-03 	2021-04 	2021-05 	2021-06 	2021-07 	2021-08 	2021-09 	2021-10 	2021-11 	2021-12 	2022 	2022-01 	2022-02 	2022-03 	2022-04 	2022-05 	2022-06 	2022-07 	2022-08 	2022-09 	2022-10 	2022-11 	2022-12 	2023-01 	2023-02 	2023-03 	2023-04 	2023-05 	2023-06 
M,LT,EU27_2020_EXTRA,TOTAL,2,VALUE_IN_EUROS	: 	: 	963630611 	1094870170 	1099585030 	1138666185 	1209282510 	1209389483 	1136610150 	1250976817 	1284834188 	1347743112 	1457059310 	1420933613 	: 	1249417816 	1137591944 	1193886135 	1082684817 	1149210734 	1197409417 	1433703169 	1543216592 	1699801049 	1715540658 	1717179772 	1616624192 	1333088374 	1372483103 	1482941060 	1396602331 	1440283869 	1240730325 
M,LT,EU27_2020_INTRA,TOTAL,1,VALUE_IN_EUROS	: 	: 	1589412686 	1820392100 	2246151008 	2203961688 	2096072380 	2170830694 	2132215995 	2072400906 	2219440973 	2338227335 	2443710455 	2494860754 	: 	2163637154 	2233321336 	2747372550 	2505998445 	2712039505 	2893991206 	2764463502 	3012023306 	3186266047 	3028223463 	3059065647 	2937377161 	2484836155 	2575631780 	3005479285 	2504828529 	2704951724 	2644981866 
M,LT,EU27_2020_INTRA,TOTAL,2,VALUE_IN_EUROS	: 	: 	1311348219 	1345319148 	1655731529 	1538475861 	1526255597 	1618820706 	1599332557 	1723844810 	1834621528 	1868049411 	1938060288 	1901435080 	: 	1902398379 	1859438774 	2552467821 	2400117157 	2336471109 	2119284834 	2276301926 	2705109982 	2653510152 	2491569916 	2283670368 	1996033308 	1948415031 	1834941380 	2163004655 	1906588085 	1967830250 	1983699386 
M,LT,WORLD,TOTAL,1,VALUE_IN_EUROS	: 	: 	2216155419 	2475873621 	3135848088 	2961639893 	3104629585 	3115179000 	3181492860 	3146111283 	3352250616 	3544447083 	3712478654 	3744562324 	: 	3428308979 	3474430876 	4461554795 	4295045524 	4004021092 	4131600609 	4437433782 	4979742181 	5209212491 	5077145149 	4482255540 	4561575936 	3781650911 	3587690089 	4177832657 	3633902605 	3826791335 	3724487749 
M,LT,WORLD,TOTAL,2,VALUE_IN_EUROS	: 	: 	2274978830 	2440189318 	2755316559 	2677142046 	2735538107 	2828210189 	2735942707 	2974821627 	3119455716 	3215792523 	3395119598 	3322368693 	: 	3151816195 	2997030718 	3746353956 	3482801974 	3485681843 	3316694251 	3710005095 	4248326574 	4353311201 	4207110574 	4000850140 	3612657500 	3281503405 	3207424483 	3645945715 	3303190416 	3408114119 	3224429711 
M,LU,EU27_2020_EXTRA,TOTAL,1,VALUE_IN_EUROS	: 	: 	192209425 	159358642 	181201324 	186818008 	269371632 	211853034 	190011636 	207890864 	290617775 	166850003 	219183410 	219676968 	: 	254386039 	171369112 	207962329 	225944163 	174682739 	169315852 	172711151 	179543956 	240054623 	283769963 	225956845 	218289014 	202544495 	181694364 	291958464 	160337427 	197498394 	185153709 
M,LU,EU27_2020_EXTRA,TOTAL,2,VALUE_IN_EUROS	: 	: 	180314960 	179458489 	234732218 	210818012 	197791115 	241113092 	237870429 	244145002 	267825655 	225702293 	263476328 	247576688 	: 	197351962 	228756273 	305433167 	230784861 	272750407 	303886672 	254362485 	255757384 	256011184 	268047609 	308646901 	295872117 	249084748 	256855776 	327688445 	291431346 	278088916 	286992960 
M,LU,EU27_2020_INTRA,TOTAL,1,VALUE_IN_EUROS	: 	: 	1323712030 	1446504732 	1740821217 	1606079273 	1565561029 	1683080944 	1621375300 	1347812945 	1653737989 	2081475224 	1808993969 	1772468262 	: 	1704539070 	1750301977 	2149789131 	1924298421 	1945884763 	1977715656 	1833544356 	1679839231 	1968351756 	1946792391 	1919039158 	1862387675 	1847889029 	1846495336 	2071897952 	1752622614 	1811103606 	1791353921 
M,LU,EU27_2020_INTRA,TOTAL,2,VALUE_IN_EUROS	: 	: 	829985158 	865333467 	1038198802 	965665212 	918312090 	1024005995 	990363611 	856780446 	1018741508 	993845851 	1021105846 	955267981 	: 	990244411 	1056714145 	1228063930 	1128795070 	1163376844 	1194111832 	1066357853 	1029879362 	1156894560 	1137136530 	1107180082 	968799029 	1125580843 	1080851431 	1230798339 	1022267615 	1036394180 	1087831647 
M,LU,WORLD,TOTAL,1,VALUE_IN_EUROS	: 	: 	1515921455 	1605863374 	1922022541 	1792897281 	1834932661 	1894933978 	1811386936 	1555703809 	1944355764 	2248325227 	2028177379 	1992145230 	: 	1958925109 	1921671089 	2357751460 	2150242584 	2120567502 	2147031508 	2006255507 	1859383187 	2208406379 	2230562354 	2144996003 	2080676689 	2050433524 	2028189700 	2363856416 	1912960041 	2008602000 	1976507630 
M,LU,WORLD,TOTAL,2,VALUE_IN_EUROS	: 	: 	1010300118 	1044791956 	1272931020 	1176483224 	1116103205 	1265119087 	1228234040 	1100925448 	1286567163 	1219548144 	1284582174 	1202844669 	: 	1187596373 	1285470418 	1533497097 	1359579931 	1436127251 	1497998504 	1320720338 	1285636746 	1412905744 	1405184139 	1415826983 	1264671146 	1374665591 	1337707207 	1558486784 	1313698961 	1314483096 	1374824607 
M,LV,EU27_2020_EXTRA,TOTAL,1,VALUE_IN_EUROS	: 	: 	305543153 	262997320 	333687702 	380801201 	494948341 	541490404 	531597118 	724355850 	533739993 	619221949 	425894605 	390256487 	: 	469178552 	504477587 	469921926 	560223493 	614948773 	408775766 	436113409 	567209969 	452267828 	465771653 	417474339 	796886491 	377070673 	335831548 	414847291 	516799100 	437407601 	350748190 
M,LV,EU27_2020_EXTRA,TOTAL,2,VALUE_IN_EUROS	: 	: 	392202098 	468053714 	517652312 	472893147 	484953284 	488591191 	544852625 	583509509 	670661532 	612398386 	602868688 	577147344 	: 	462973672 	473415467 	662404597 	606279148 	647496916 	651515679 	628479273 	701758133 	858453152 	724701578 	758212325 	738261732 	587178910 	604269661 	743175118 	614210557 	548763676 	586576925 
M,LV,EU27_2020_INTRA,TOTAL,1,VALUE_IN_EUROS	: 	: 	909971221 	1027647256 	1289434731 	1212038640 	1235921031 	1249166870 	1323924454 	1357282581 	1403029481 	1362572841 	1376303807 	1402967675 	: 	1221856270 	1370805901 	1936918288 	1719531796 	1883784978 	1783587562 	1931810264 	2069320797 	2190580171 	2097788101 	2007992966 	1744166926 	1651237221 	1631168794 	1947125260 	1606289233 	1737130743 	1759876312 
M,LV,EU27_2020_INTRA,TOTAL,2,VALUE_IN_EUROS	: 	: 	721003423 	751822451 	901751326 	853047782 	855570441 	889906030 	896472757 	984893754 	1069598812 	1070551367 	1146758776 	1093371125 	: 	1110111747 	1132547285 	1327451905 	1218298442 	1260687272 	1197711751 	1118581623 	1380354428 	1465601570 	1308802867 	1387606315 	1160472525 	1214310217 	1159441500 	1342656727 	1060489109 	1115847979 	1050225177 
M,LV,WORLD,TOTAL,1,VALUE_IN_EUROS	: 	: 	1215514374 	1290644576 	1623122433 	1592839841 	1730869372 	1790657274 	1855521572 	2081638431 	1936769474 	1981794790 	1802198412 	1793224162 	: 	1691034822 	1875283488 	2406840214 	2279755289 	2498733751 	2192363328 	2367923673 	2636530766 	2642847999 	2563559754 	2425467305 	2541053417 	2028307894 	1967000342 	2361972551 	2123088333 	2174538344 	2110624502 
M,LV,WORLD,TOTAL,2,VALUE_IN_EUROS	: 	: 	1113205521 	1219876165 	1419403638 	1325940929 	1340523725 	1378497221 	1441325382 	1568403263 	1740260344 	1682949753 	1749627464 	1670518469 	: 	1573085419 	1605962752 	1989856502 	1824577590 	1908184188 	1849227430 	1747060896 	2082112561 	2324054722 	2033504445 	2145818640 	1898734257 	1801489127 	1763711161 	2085831845 	1674699666 	1664611655 	1636802102 
M,MT,EU27_2020_EXTRA,TOTAL,1,VALUE_IN_EUROS	: 	: 	89302054 	114134302 	149255542 	273251878 	255128327 	187262978 	282615985 	165740636 	159262375 	172439867 	280889046 	303169882 	: 	151400474 	208579181 	173062949 	275551856 	300213956 	287798049 	423804258 	267038966 	245274100 	339067525 	386025140 	321565990 	273921643 	192318551 	174326737 	345493007 	258379499 	249351732 
M,MT,EU27_2020_EXTRA,TOTAL,2,VALUE_IN_EUROS	: 	: 	84153350 	84581721 	114354504 	88815713 	86515457 	85689930 	102454786 	93857861 	100932602 	159094868 	175264000 	169407072 	: 	115240735 	116591306 	103918584 	96081823 	113229250 	98799006 	101261546 	104809036 	131617944 	211106678 	263439222 	163161891 	111100481 	106653336 	133675268 	88829569 	116120198 	111142362 
M,MT,EU27_2020_INTRA,TOTAL,1,VALUE_IN_EUROS	: 	: 	252993239 	234920671 	262072998 	283202659 	296866824 	333798975 	478063317 	281888143 	320275227 	268336991 	347772239 	245205236 	: 	319622196 	278485395 	371735871 	389220528 	429380835 	472773740 	702308677 	455977113 	346361021 	360383906 	300675461 	326498038 	328536009 	309174615 	324473752 	354452040 	402198335 	364000650 
M,MT,EU27_2020_INTRA,TOTAL,2,VALUE_IN_EUROS	: 	: 	141363897 	112475257 	105446408 	142375295 	96376794 	131646642 	94832123 	79751188 	83331771 	89463387 	72726597 	98078671 	: 	100878932 	114601227 	141728366 	123828200 	127764419 	122133210 	114448933 	127255710 	138547940 	124800190 	128964183 	117426414 	135383717 	137742659 	137471673 	127070068 	136038390 	146496861 
M,MT,WORLD,TOTAL,1,VALUE_IN_EUROS	: 	: 	342295293 	349054973 	411328540 	556454537 	551995151 	521061953 	760679302 	447628779 	479537602 	440776858 	628661285 	548375118 	: 	471022670 	487064576 	544798820 	664772384 	729594791 	760571789 	1126112935 	723016079 	591635121 	699451431 	686700601 	648064028 	602457652 	501493166 	498800489 	699945047 	660577834 	613352382 
M,MT,WORLD,TOTAL,2,VALUE_IN_EUROS	: 	: 	225517247 	197056978 	219800912 	231191008 	182892251 	217336572 	197286909 	173609049 	184264373 	248558255 	247990597 	267485743 	: 	216119667 	231192533 	245646950 	219910023 	240993669 	220932216 	215710479 	232064746 	270165884 	335906868 	392403405 	280588305 	246484198 	244395995 	271146941 	215899637 	252158588 	257639223 
M,NL,EU27_2020_EXTRA,TOTAL,1,VALUE_IN_EUROS	: 	: 	25570173655 	24889781739 	32018764443 	28773392557 	28759320701 	30526743736 	30364919832 	31697130946 	32849801526 	34379079385 	38797806825 	38500571297 	: 	36911188131 	33792733361 	43408144272 	40539708917 	45955363550 	45299446887 	42587540606 	48163899865 	49562494560 	50814407785 	45925418241 	41638739129 	42740149263 	37558893802 	41392313913 	38220066935 	40051398981 	37469210181 
M,NL,EU27_2020_EXTRA,TOTAL,2,VALUE_IN_EUROS	: 	: 	15034973677 	15968931161 	19522077850 	17316881839 	17027073153 	19432708197 	18558694422 	18255953117 	18787529193 	16779358574 	20631147615 	20133922825 	: 	17604531980 	18105858207 	21671998104 	20372828877 	23304442231 	23751881113 	22468488295 	22430798116 	24770596395 	22825362101 	23900592851 	23184763355 	21420541381 	21452136586 	24686205010 	19367291599 	22261284337 	22869705817 
M,NL,EU27_2020_INTRA,TOTAL,1,VALUE_IN_EUROS	: 	: 	18237193937 	19424677245 	22993565335 	21125816483 	20903166981 	22622872641 	21940415564 	19827123022 	23401158686 	23484084624 	25351685808 	25037487973 	: 	24312865248 	24243860816 	28484881124 	26451740190 	28631989891 	29449915769 	27675493814 	26556691986 	28697706877 	28962559997 	30037242492 	27663559206 	28376705558 	26708698369 	29842376143 	26466406370 	27186400189 	28439100259 
M,NL,EU27_2020_INTRA,TOTAL,2,VALUE_IN_EUROS	: 	: 	34891441404 	35306593049 	42994494348 	38431939767 	38194402797 	41282456703 	40314278700 	38007418628 	43765159857 	45217660534 	48067937682 	47146812433 	: 	46806382738 	45114532402 	55387963053 	51503028614 	54744391253 	57513103351 	52879485814 	55235763533 	61522633588 	61497259357 	60618059459 	52757697425 	55017140241 	50839415897 	55368150697 	45930666030 	51282879358 	51166639210 
M,NL,WORLD,TOTAL,1,VALUE_IN_EUROS	: 	: 	43807367592 	44314458984 	55012329778 	49899209040 	49662487682 	53149616377 	52305335396 	51524253968 	56250960212 	57863164009 	64149492633 	63538059270 	: 	61224053379 	58036594177 	71893025396 	66991449107 	74587353441 	74749362656 	70263034420 	74720591851 	78260201437 	79776967782 	75962660733 	69302298335 	71116854821 	64267592171 	71234690056 	64686473305 	67237799170 	65908310440 
M,NL,WORLD,TOTAL,2,VALUE_IN_EUROS	: 	: 	49926415081 	51275524210 	62516572198 	55748821606 	55221475950 	60715164900 	58872973122 	56263371745 	62552689050 	61997019108 	68699085297 	67280735258 	: 	64410914718 	63220390609 	77059961157 	71875857491 	78048833484 	81264984464 	75347974109 	77666561649 	86293229983 	84322621458 	84518652310 	75942460780 	76437681622 	72291552483 	80054355707 	65297957629 	73544163695 	74036345027 
